LHNo,flagged,reasons,identity_sensitive,confidence,baseline_category,proposed_category,baseline_tags,proposed_tags,baseline_description,proposed_description,subject,date,filename
75-0012,False,,False,0.95,Disasters & Floods,Disasters & Floods,flooded street; residential neighborhood; wooden houses; 1935 flood; black and white photograph,flooded street; residential neighborhood; wooden houses; 1935 flood; black and white photograph,"This photograph documents the flooding on High Street in Painted Post, New York on July 8, 1935, showing residential wooden structures partially submerged in floodwaters with trees visible in the background.","This photograph documents the flooding on High Street in Painted Post, New York on July 8, 1935, showing residential wooden structures partially submerged in floodwaters with trees visible in the background.",Floods,1935,lh-75-0012.jpg
75-0013,False,,False,0.95,Disasters & Floods,Disasters & Floods,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,"This black and white photograph shows the July 8th flood at Painted Post, New York, with water inundating a residential area containing multiple wooden buildings, utility poles, and railroad tracks visible in the foreground.","This black and white photograph shows the July 8th flood at Painted Post, New York, with water inundating a residential area containing multiple wooden buildings, utility poles, and railroad tracks visible in the foreground.",Floods,1935,lh-75-0013.jpg
75-0014,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flooded building with water covering the floor, displaced wooden chairs, and debris scattered throughout, documenting damage from the 1946 Corning flood.","A black and white photograph showing the interior of a flood-damaged building with wet floors, displaced wooden chairs, and debris scattered throughout, documenting damage from the 1946 Corning flood.",Corning Glass Works Floods,1946,lh-75-0014.jpg
75-0015,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; circular frame; man; early 20th century; black and white,portrait photograph; circular frame; man; early 20th century; black and white,"A black and white portrait photograph of a man in profile within a circular frame, numbered ""5"" and captioned with partial text reading ""of Their Fellow Towns-,"" suggesting this is part of a larger publication or collection of local notable figures from Corning, NY.","A black and white portrait photograph of a man in profile within a circular frame, numbered ""5"" and captioned with partial text reading ""of Their Fellow Towns-,"" suggesting this is part of a larger publication or collection of local notable figures from Corning, NY.",NULL,NULL,lh-75-0015.jpg
75-0017,False,,True,0.95,Military & War,Military & War,portrait photograph; sailor uniform; early 20th century; black and white; oval vignette,portrait photograph; sailor uniform; early 20th century; black and white; oval vignette,"A black and white portrait photograph of a person in a naval sailor uniform with a distinctive hat, white gloves, and sailor collar, presented in an oval vignette format with the number ""3"" visible in the lower right corner.","A black and white portrait photograph of a person in a naval sailor uniform with a distinctive hat, white gloves, and sailor collar, presented in an oval vignette format with the number ""3"" visible in the lower right corner.",NULL,NULL,lh-75-0017.jpg
75-0018,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; formal headshot; early 20th century; black and white,portrait photograph; man; formal headshot; early 20th century; black and white,"A formal black and white portrait photograph of a man in professional attire with slicked-back hair, numbered ""4"" at the bottom left, appearing to be from an early 20th-century publication or directory.","A formal black and white portrait photograph of a man in professional attire with slicked-back hair, numbered ""4"" at the bottom left, appearing to be from an early 20th-century publication or directory.",NULL,NULL,lh-75-0018.jpg
75-0019,False,,True,0.95,Military & War,Military & War,world war i; military portrait; soldier; corning; 1918,world war i; military portrait; soldier; corning; 1918,"A black and white photograph showing a soldier in World War I military uniform and campaign hat, captioned ""Corning's Part in the World War 1918,"" documenting a local serviceman's contribution to the war effort.","A black and white photograph showing a soldier in World War I military uniform and campaign hat, captioned ""Corning's Part in the World War 1918,"" documenting a local serviceman's contribution to the war effort.",NULL,NULL,lh-75-0019.jpg
75-0020,True,description_error,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; black and white; early 20th century; formal headshot,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man wearing a suit and white shirt collar, shown in profile against a plain background, typical of early 20th-century formal portraiture.","A black and white portrait photograph of a man wearing a suit and white shirt collar, shown in three-quarter view against a plain background, typical of early 20th-century formal portraiture.",NULL,NULL,lh-75-0020.jpg
75-0021,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; 1918; black and white; formal attire,portrait photograph; man; 1918; black and white; formal attire,"A formal black and white portrait photograph from 1918 showing Robert Austin, a man wearing a suit with a bow tie and white collar, photographed in profile against a dark background.","A formal black and white portrait photograph from 1918 showing Robert Austin, a man wearing a suit with a bow tie and white collar, photographed in profile against a dark background.",Robert Austin,1918,lh-75-0021.jpg
75-0022,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; man; 1918; formal attire; black and white photograph,portrait photograph; man; 1918; formal attire; black and white photograph,"A formal black and white portrait photograph from 1918 showing Thomas J. Cunningham, a man wearing a suit jacket, white dress shirt, and patterned tie, photographed from the shoulders up against a plain background.","A formal black and white portrait photograph from 1918 showing Thomas J. Cunningham, a man wearing a suit jacket, white dress shirt, and patterned tie, photographed from the shoulders up against a plain background.",Thomas J. Cunningham,1918,lh-75-0022.jpg
75-0023,True,doubts(2),True,0.85,Military & War,Military & War,sailor uniform; portrait photograph; military; black and white; vintage,sailor uniform; portrait photograph; military; black and white; vintage,"A black and white portrait photograph of a man wearing a World War-era sailor uniform with a white cap and dark neckerchief, with partial text visible at the top of the image and archival numbering at the bottom.","A black and white portrait photograph of a man wearing a World War-era sailor uniform with a white cap and dark neckerchief, with partial text visible at the top of the image and archival numbering at the bottom.",NULL,NULL,lh-75-0023.jpg
75-0024,True,description_error; doubts(2),True,0.85,People & Portraits,People & Portraits,portrait photograph; man; wide-brimmed hat; early 20th century; black and white,portrait photograph; man; wide-brimmed hat; early 20th century; black and white,"A black and white portrait photograph of a man wearing a wide-brimmed hat and patterned shirt, holding what appears to be a tool or implement, from the Corning local history archive.","A black and white portrait photograph of a man wearing a wide-brimmed hat and patterned shirt, holding a rifle, from the Corning local history archive.",NULL,NULL,lh-75-0024.jpg
75-0025,False,,True,0.95,Military & War,Military & War,world war i; military uniforms; 1918; portrait photographs; soldiers,world war i; military uniforms; 1918; portrait photographs; soldiers,"A black and white photograph showing two men in World War I military uniforms from 1918, with a banner at the top reading ""...CORNING'S PART in the WORLD WAR, 1918,"" documenting local servicemen's participation in the war effort.","A black and white photograph showing two men in World War I military uniforms from 1918, with a banner at the top reading ""...CORNING'S PART in the WORLD WAR, 1918,"" documenting local servicemen's participation in the war effort.",NULL,NULL,lh-75-0025.jpg
75-0026,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; man; black and white; early 20th century; formal headshot,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man with a mustache wearing formal attire with a dark suit and white collar, shown in a three-quarter view against a plain background.","A black and white portrait photograph of a man with a mustache wearing formal attire with a dark suit and white collar, shown in a three-quarter view against a plain background.",NULL,NULL,lh-75-0026.jpg
75-0027,False,,True,0.92,Military & War,Military & War,portrait photograph; military uniform; man; black and white; early 20th century,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with collar insignia and buttons, shown from the shoulders up against a textured background.","A black and white portrait photograph of a man wearing a military uniform with collar insignia and buttons, shown from the shoulders up against a textured background.",NULL,NULL,lh-75-0027.jpg
75-0028,True,description_error; low_confidence(0.75); doubts(1),True,0.75,Military & War,Military & War,military portrait; naval officer; white uniform; early 20th century; black and white photograph,military portrait; naval officer; white uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a naval officer wearing a white dress uniform with shoulder boards and a naval cap with insignia, photographed against a textured studio background.","A formal black and white portrait photograph of a naval officer wearing a white dress uniform with shoulder straps bearing rank insignia and a naval cap with insignia, photographed against a textured studio background.",NULL,NULL,lh-75-0028.jpg
75-0029,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; man; eyeglasses; formal attire; 1918,portrait photograph; man; eyeglasses; formal attire; 1918,"A black and white portrait photograph from 1918 of John H. Dougherty, a man wearing oval-framed eyeglasses, a suit jacket, and a striped tie, shown from the shoulders up against a plain background.","A black and white portrait photograph from 1918 of John H. Dougherty, a man wearing oval-framed eyeglasses, a suit jacket, and a striped tie, shown from the shoulders up against a plain background.",John H. Douherty,1918,lh-75-0029.jpg
75-0030,True,description_error,True,0.95,People & Portraits,People & Portraits,portrait photograph; woman; early 1900s; hat; white collar,portrait photograph; woman; early 1900s; hat; white collar,"A black and white portrait photograph of a woman wearing an elaborate feathered hat and dark dress with a white collar, shown in profile view against a plain background.","A black and white portrait photograph of a man wearing an elaborate feathered hat and dark suit jacket with a white collar, shown in profile view against a plain background.",NULL,NULL,lh-75-0030.jpg
75-0031,True,description_error; doubts(1),True,0.92,People & Portraits,People & Portraits,portrait; man; early twentieth century; black and white photograph; hand-tinted,portrait; man; early twentieth century; black and white photograph; hand-tinted,"A hand-tinted black and white portrait photograph of a man with dark hair and a distinctive mustache, shown in profile facing left, wearing what appears to be a military or formal uniform with yellow-gold coloring visible on the shoulder.","A hand-tinted black and white portrait photograph of a man with dark hair and a distinctive mustache, shown facing forward in three-quarter view, wearing what appears to be a military or formal uniform with yellow-gold coloring visible on the shoulder.",NULL,NULL,lh-75-0031.jpg
75-0032,False,,True,0.95,People & Portraits,People & Portraits,portrait; profile; man; black and white photograph; early 20th century,portrait; profile; man; black and white photograph; early 20th century,"A black and white profile portrait photograph of a man shown in side view, wearing formal attire with a collar visible, against a textured background.","A black and white profile portrait photograph of a man shown in side view, wearing formal attire with a collar visible, against a textured background.",NULL,NULL,lh-75-0032.jpg
75-0033,True,description_error; doubts(1),True,0.85,People & Portraits,People & Portraits,portrait photograph; man; early 20th century; black and white; formal headshot,portrait photograph; man; early 20th century; black and white; formal headshot,"A formal black and white portrait photograph of a man wearing a dark turtleneck sweater, shown in a three-quarter view against a dark background, with archival reference number ""2"" visible in the upper right corner.","A formal black and white portrait photograph of a man wearing a high-necked dark garment with buttons, shown in a three-quarter view against a dark background, with archival reference number ""2"" visible in the upper right corner.",NULL,NULL,lh-75-0033.jpg
75-0034,False,,True,0.92,Military & War,Military & War,portrait; military uniform; man; early 20th century; black and white photograph,portrait; military uniform; man; early 20th century; black and white photograph,"A black and white portrait photograph of a man wearing a military uniform with buttons and collar insignia, standing against a draped backdrop, with the number ""3"" visible in the lower right corner.","A black and white portrait photograph of a man wearing a military uniform with buttons and collar insignia, standing against a draped backdrop, with the number ""3"" visible in the lower right corner.",NULL,NULL,lh-75-0034.jpg
75-0035,True,description_error,True,0.95,Military & War,Military & War,military uniform; world war i; portrait; soldier; black and white photograph,military uniform; world war i; portrait; soldier; black and white photograph,"A black and white portrait photograph of a man in World War I military uniform wearing glasses and a campaign hat, standing at attention against a plain background.","A black and white portrait photograph of a man in World War I military uniform wearing a campaign hat, standing at attention against a plain background.",NULL,NULL,lh-75-0035.jpg
75-0036,True,description_error; doubts(1),True,0.92,Military & War,Military & War,military portrait; united states navy; sailor uniform; early 20th century; black and white photograph,military portrait; united states navy; sailor uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a U.S. Navy sailor wearing a dress uniform with a cap labeled ""U.S. NAVY FORCE,"" sailor collar with white piping, and what appears to be a military decoration or insignia on his chest.","A formal black and white portrait photograph of a U.S. Navy sailor wearing a dress uniform with a cap labeled ""U.S. FORD,"" sailor collar with white piping, and what appears to be a military decoration or insignia on his chest.",NULL,NULL,lh-75-0036.jpg
75-0037,False,,True,0.95,Military & War,Military & War,portrait photograph; four minute men; world war i; 1918; corning new york,portrait photograph; four minute men; world war i; 1918; corning new york,"A black and white portrait photograph from 1918 showing a man in formal attire with the header text ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Four Minute Men speaker from Corning, New York during World War I.","A black and white portrait photograph from 1918 showing a man in formal attire with the header text ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Four Minute Men speaker from Corning, New York during World War I.","""Four Minute Men""",1918,lh-75-0037.jpg
75-0038,True,description_error; tags_error,True,0.92,Military & War,Military & War,portrait photograph; man; cowboy hat; military uniform; black and white photograph,portrait photograph; man; military campaign hat; military uniform; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat with a decorative band and a military-style jacket with buttons and chest pockets, appearing to be from the early 20th century.","A black and white portrait photograph of a man wearing a wide-brimmed military campaign hat with a decorative band and a military uniform jacket with buttons and chest pockets, appearing to be from the early 20th century.",NULL,NULL,lh-75-0038.jpg
75-0039,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; man; 1918; black and white; formal headshot,portrait photograph; man; 1918; black and white; formal headshot,"A formal black and white portrait photograph from 1918 showing a man identified as Lynn A. Frence in a three-quarter view, wearing a collared shirt with a button visible, against a plain background.","A formal black and white portrait photograph from 1918 showing a man identified as Lynn A. Frence in a three-quarter view, wearing a collared shirt with a button visible, against a plain background.",Lynn A. Frence,1918,lh-75-0039.jpg
75-0040,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; man; early 20th century; black and white; formal headshot,portrait photograph; man; early 20th century; black and white; formal headshot,"A black and white portrait photograph of a man in profile facing left, wearing a textured jacket or sweater with a high collar, photographed against a dark background in what appears to be an early 20th-century studio style.","A black and white portrait photograph of a man in profile facing left, wearing a textured jacket or sweater with a high collar, photographed against a dark background in what appears to be an early 20th-century studio style.",NULL,NULL,lh-75-0040.jpg
75-0041,False,,True,0.92,Military & War,Military & War,portrait photograph; man; sailor uniform; 1918; black and white,portrait photograph; man; sailor uniform; 1918; black and white,"A black and white portrait photograph from 1918 showing James P. Conny wearing a sailor's uniform with striped collar detail, taken for the Corning, NY local history archive.","A black and white portrait photograph from 1918 showing James P. Conny wearing a sailor's uniform with striped collar detail, taken for the Corning, NY local history archive.",James P. Conny,1918,lh-75-0041.jpg
75-0042,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; black and white; early 20th century; headshot,portrait photograph; man; black and white; early 20th century; headshot,"A black and white portrait photograph of a young man wearing a dark collared shirt, shown from the shoulders up against a plain background, typical of early 20th-century studio portraiture.","A black and white portrait photograph of a young man wearing a dark collared shirt, shown from the shoulders up against a plain background, typical of early 20th-century studio portraiture.",NULL,NULL,lh-75-0042.jpg
75-0043,False,,True,0.85,Military & War,Military & War,world war i soldier; military uniform; rifle with bayonet; portrait; black and white photograph,world war i soldier; military uniform; rifle with bayonet; portrait; black and white photograph,"A 1918 portrait photograph of a World War I soldier in uniform holding a rifle with bayonet attachment, wearing a military hat and belt, posed against a wooden backdrop with decorative stars.","A 1918 portrait photograph of a World War I soldier in uniform holding a rifle with bayonet attachment, wearing a military hat and belt, posed against a wooden backdrop with decorative stars.",Albert J. Barrett,1918,lh-75-0043.jpg
75-0044,True,description_error,True,0.95,Military & War,Military & War,world war i; military portrait; naval officer; 1918; corning new york,world war i; military portrait; naval officer; 1918; corning new york,"A black and white portrait photograph from 1918 titled ""Corning's Part in the World War"" showing a U.S. Navy officer in uniform with a sailor's cap, representing a local serviceman's contribution to World War I.","A black and white portrait photograph from 1918 titled ""Corning's Part in the World War"" showing a U.S. Navy officer in uniform with a naval officer's cap, representing a local serviceman's contribution to World War I.",NULL,NULL,lh-75-0044.jpg
75-0045,True,low_confidence(0.75); doubts(1),True,0.75,Military & War,Military & War,portrait photograph; military uniform; man; early 20th century; black and white,portrait photograph; military uniform; man; early 20th century; black and white,"A black and white portrait photograph of a man wearing a military uniform with a cap and collar insignia, with decorative text and floral design visible at the top of the image.","A black and white portrait photograph of a man wearing a military uniform with a cap and collar insignia, with decorative text and floral design visible at the top of the image.",NULL,NULL,lh-75-0045.jpg
75-0046,True,description_error,True,0.85,Military & War,Military & War,portrait photograph; military uniform; man; black and white; early 20th century,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with decorative insignia and buttons, shown in profile against a plain background.","A black and white portrait photograph of a man wearing a military uniform with decorative insignia and buttons, shown in three-quarter view against a plain background.",NULL,NULL,lh-75-0046.jpg
75-0047,False,,True,0.95,People & Portraits,People & Portraits,portrait photograph; woman; eyeglasses; 1918; black and white,portrait photograph; woman; eyeglasses; 1918; black and white,"A black and white portrait photograph from 1918 showing Cora Everson, a woman wearing round eyeglasses and light-colored clothing, from the Corning, NY local history archive (ID: 75-0047).","A black and white portrait photograph from 1918 showing Cora Everson, a woman wearing round eyeglasses and light-colored clothing, from the Corning, NY local history archive (ID: 75-0047).",Cora Everson,1918,lh-75-0047.jpg
75-0048,True,low_confidence(0.78),True,0.78,People & Portraits,People & Portraits,portrait; man; cowboy hat; work clothes; black and white photograph,portrait; man; cowboy hat; work clothes; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat, work shirt, and pants, standing outdoors with trees visible in the background, framed with decorative stars and marked with the number 4.","A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat, work shirt, and pants, standing outdoors with trees visible in the background, framed with decorative stars and marked with the number 4.",NULL,NULL,lh-75-0048.jpg
75-0049,True,description_error,True,0.92,People & Portraits,People & Portraits,portrait photograph; black and white; oval frame; male subject; early 20th century,portrait photograph; black and white; oval frame; male subject; early 20th century,"A black and white portrait photograph of a man in profile view, presented in an oval frame with a decorative scalloped border, numbered ""6"" at the bottom left, typical of early 20th-century archival photography.","A black and white portrait photograph of a man in three-quarter view, presented in an oval frame with a decorative scalloped border, numbered ""6"" at the bottom left, typical of early 20th-century archival photography.",NULL,NULL,lh-75-0049.jpg
75-0050,False,,True,0.95,People & Portraits,People & Portraits,portrait photograph; man; formal attire; black and white; early 20th century,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, showing a formal headshot typical of early 20th century photography.","A black and white portrait photograph of a man wearing a suit and tie, showing a formal headshot typical of early 20th century photography.",NULL,NULL,lh-75-0050.jpg
75-0051,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; formal attire; black and white; early 20th century,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, shown in profile-facing pose with a serious expression, typical of early 20th-century formal portraiture.","A black and white portrait photograph of a man wearing a suit and tie, shown in profile-facing pose with a serious expression, typical of early 20th-century formal portraiture.",NULL,NULL,lh-75-0051.jpg
75-0052,False,,True,0.85,Military & War,Military & War,portrait; military uniform; world war i; soldier; black and white photograph,portrait; military uniform; world war i; soldier; black and white photograph,A black and white portrait photograph from 1918 showing Ernest T. Brooks wearing a World War I military uniform and campaign hat with a star insignia visible in the upper left corner.,A black and white portrait photograph from 1918 showing Ernest T. Brooks wearing a World War I military uniform and campaign hat with a star insignia visible in the upper left corner.,Ernest T. Brooks,1918,lh-75-0052.jpg
75-0053,True,description_error; doubts(2),True,0.92,Military & War,Military & War,military uniform; portrait photograph; soldier; world war era; black and white photograph,military uniform; portrait photograph; soldier; world war era; black and white photograph,"A black and white portrait photograph of a soldier wearing a World War I-era military uniform with campaign hat and light-colored tunic, standing indoors against a dark background.","A black and white portrait photograph of a soldier wearing a World War I-era military uniform with campaign hat and light-colored tunic, standing indoors against a dark background.",NULL,NULL,lh-75-0053.jpg
75-0054,True,description_error; doubts(2),True,0.85,Military & War,Military & War,corning's world war; military portraits; numbered soldiers; black and white photograph; world war era,corning's world war; military portraits; numbered soldiers; black and white photograph; world war era,"A historical photograph from Corning, NY showing five numbered military personnel portraits arranged in star shapes with a decorative banner reading ""Corning's World War"" at the top, documenting local soldiers' service during World War I or II.","A historical photograph from Corning, NY showing five numbered military personnel portraits arranged in star shapes with a decorative banner reading ""Corning's World War"" at the top, documenting local soldiers' service during World War I or II.",NULL,NULL,lh-75-0054.jpg
75-0055,True,description_error; low_confidence(0.72); doubts(1),True,0.72,People & Portraits,People & Portraits,portrait collage; black and white photograph; 1918; numbered figures; illustrated scenes,portrait collage; black and white photograph; 1918; numbered figures; illustrated scenes,"A 1918 composite photograph featuring multiple numbered portraits and illustrations, including circular and star-shaped framed portraits of individuals, numbered scenes (5, 8), and what appears to be illustrated narrative panels, all arranged on a single page from the Corning, NY local history archive.","A 1918 composite photograph featuring multiple numbered portraits and illustrations, including circular and star-shaped framed portraits of individuals, numbered scenes (3, 5), and what appears to be illustrated narrative panels, all arranged on a single page from the Corning, NY local history archive.",Cora Everson,1918,lh-75-0055.jpg
75-0056,False,,True,0.85,Domestic & Family Life,Domestic & Family Life,rural landscape; open field; early 1900s; black and white photograph; archival image,rural landscape; open field; early 1900s; black and white photograph; archival image,"A circular-framed black and white photograph showing an open rural field with scattered figures and trees in the distance, circa 1900, from the Isabel Walker Drake Family collection (archive ID 75-0056).","A circular-framed black and white photograph showing an open rural field with scattered figures and trees in the distance, circa 1900, from the Isabel Walker Drake Family collection (archive ID 75-0056).",Isabel Walker Drake Family Photo,c.1900,lh-75-0056.jpg
75-0057,False,,True,0.85,People & Portraits,People & Portraits,family portrait; early 1900s; women; garden gate; church steeple; black and white photograph,family portrait; early 1900s; women; garden gate; church steeple; black and white photograph,"A black and white photograph from circa 1900 showing two women standing at a garden gate with a church steeple visible in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive.","A black and white photograph from circa 1900 showing two women standing at a garden gate with a church steeple visible in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive.",Isabel Walker Drake Family Photo,c. 1900,lh-75-0057.jpg
75-0059,True,description_error; category_change(Transportation -> Domestic & Family Life),True,0.85,Transportation,Domestic & Family Life,horse-drawn carriage; ivy-covered house; turn-of-century; residential property; black and white photograph,horse-drawn carriage; ivy-covered house; turn-of-century; residential property; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family property in Corning, NY, showing a person on horseback with a carriage in front of a large house heavily covered with climbing ivy vines.","A circa 1900 photograph of the Isabel Walker Drake family property in Corning, NY, showing a person on horseback pulling a carriage in front of a large house heavily covered with climbing ivy vines.",Isabel Walker Drake Family Photo,c. 1900,lh-75-0059.jpg
