id,LHNo,Subject:,Date,Tags,Description
16,75-0007,Floods,1946,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of an office in Building No. 21 of the Corning Glass Works after water from the 1946 flood receded, showing damaged file cabinets, scattered papers, and waterlogged materials throughout the workspace."
17,75-0008,Corning Glass Works Floods,1946,flooded street; brick industrial building; 1940s automobile; people wading; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the frame."
18,75-0008,Floods,1946,flooded street; brick industrial building; 1940s automobile; people wading; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the frame."
19,75-0009,Floods,1935,flooded house; structural damage; new york state flood; july 1935; black and white photograph,"A residential house is partially submerged and tilted at an angle in floodwaters during the July 8, 1935 New York State flood, with debris and trees visible in the background, captioned as ""A very common sight in New York State Flood—Flood July 8, 1935."""
20,75-0010,Floods,1935,flooded landscape; rural road; forest; 1935 flood; black and white photograph,"This photograph documents the flooding along the Corning and Painted Post Road on July 8, 1935, showing a submerged rural landscape with trees, vegetation, and a fence partially underwater, with forested hills visible in the background."
21,75-0011,"Corning, New York",1935,residential street; victorian house; 1935; corning new york; black and white photograph,"A 1935 black and white photograph of a Victorian-era residential street in Corning, New York, showing a white wooden house with a turret and wraparound porch, lattice fencing, mature trees, and a street sign reading ""LEE"" visible in the foreground."
22,75-0012,Floods,1935,flooded street; residential neighborhood; wooden houses; 1935 flood; black and white photograph,"This photograph documents the flooding on High Street in Painted Post, New York on July 8, 1935, showing residential wooden structures partially submerged in floodwaters with trees visible in the background."
23,75-0013,Floods,1935,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,"This black and white photograph shows the July 8th flood at Painted Post, New York, with water inundating a residential area containing multiple wooden buildings, utility poles, and railroad tracks visible in the foreground."
24,75-0014,Corning Glass Works Floods,1946,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flooded building with water covering the floor, displaced wooden chairs, and debris scattered throughout, documenting damage from the 1946 Corning flood."
25,75-0014,Floods,1946,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flooded building with water covering the floor, displaced wooden chairs, and debris scattered throughout, documenting damage from the 1946 Corning flood."
26,75-0015,,,portrait photograph; circular frame; man; early 20th century; black and white,"A black and white portrait photograph of a man in profile within a circular frame, numbered ""5"" and captioned with partial text reading ""of Their Fellow Towns-,"" suggesting this is part of a larger publication or collection of local notable figures from Corning, NY."
27,75-0016,John Burg,1918,,
28,75-0017,,,portrait photograph; sailor uniform; early 20th century; black and white; oval vignette,"A black and white portrait photograph of a person in a naval sailor uniform with a distinctive hat, white gloves, and sailor collar, presented in an oval vignette format with the number ""3"" visible in the lower right corner."
29,75-0018,,,portrait photograph; man; formal headshot; early 20th century; black and white,"A formal black and white portrait photograph of a man in professional attire with slicked-back hair, numbered ""4"" at the bottom left, appearing to be from an early 20th-century publication or directory."
30,75-0019,,,world war i; military portrait; soldier; corning; 1918,"A black and white photograph showing a soldier in World War I military uniform and campaign hat, captioned ""Corning's Part in the World War 1918,"" documenting a local serviceman's contribution to the war effort."
31,75-0020,,,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man wearing a suit and white shirt collar, shown in profile against a plain background, typical of early 20th-century formal portraiture."
32,75-0021,Robert Austin,1918,portrait photograph; man; 1918; black and white; formal attire,"A formal black and white portrait photograph from 1918 showing Robert Austin, a man wearing a suit with a bow tie and white collar, photographed in profile against a dark background."
33,75-0022,Thomas J. Cunningham,1918,portrait photograph; man; 1918; formal attire; black and white photograph,"A formal black and white portrait photograph from 1918 showing Thomas J. Cunningham, a man wearing a suit jacket, white dress shirt, and patterned tie, photographed from the shoulders up against a plain background."
34,75-0023,,,sailor uniform; portrait photograph; military; black and white; vintage,"A black and white portrait photograph of a man wearing a World War-era sailor uniform with a white cap and dark neckerchief, with partial text visible at the top of the image and archival numbering at the bottom."
35,75-0024,,,portrait photograph; man; wide-brimmed hat; early 20th century; black and white,"A black and white portrait photograph of a man wearing a wide-brimmed hat and patterned shirt, holding what appears to be a tool or implement, from the Corning local history archive."
36,75-0025,,,world war i; military uniforms; 1918; portrait photographs; soldiers,"A black and white photograph showing two men in World War I military uniforms from 1918, with a banner at the top reading ""...CORNING'S PART in the WORLD WAR, 1918,"" documenting local servicemen's participation in the war effort."
37,75-0026,,,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man with a mustache wearing formal attire with a dark suit and white collar, shown in a three-quarter view against a plain background."
38,75-0027,,,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with collar insignia and buttons, shown from the shoulders up against a textured background."
39,75-0028,,,military portrait; naval officer; white uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a naval officer wearing a white dress uniform with shoulder boards and a naval cap with insignia, photographed against a textured studio background."
40,75-0029,John H. Douherty,1918,portrait photograph; man; eyeglasses; formal attire; 1918,"A black and white portrait photograph from 1918 of John H. Dougherty, a man wearing oval-framed eyeglasses, a suit jacket, and a striped tie, shown from the shoulders up against a plain background."
41,75-0030,,,portrait photograph; woman; early 1900s; hat; white collar,"A black and white portrait photograph of a woman wearing an elaborate feathered hat and dark dress with a white collar, shown in profile view against a plain background."
42,75-0031,,,portrait; man; early twentieth century; black and white photograph; hand-tinted,"A hand-tinted black and white portrait photograph of a man with dark hair and a distinctive mustache, shown in profile facing left, wearing what appears to be a military or formal uniform with yellow-gold coloring visible on the shoulder."
43,75-0032,,,portrait; profile; man; black and white photograph; early 20th century,"A black and white profile portrait photograph of a man shown in side view, wearing formal attire with a collar visible, against a textured background."
44,75-0033,,,portrait photograph; man; early 20th century; black and white; formal headshot,"A formal black and white portrait photograph of a man wearing a dark turtleneck sweater, shown in a three-quarter view against a dark background, with archival reference number ""2"" visible in the upper right corner."
45,75-0034,,,portrait; military uniform; man; early 20th century; black and white photograph,"A black and white portrait photograph of a man wearing a military uniform with buttons and collar insignia, standing against a draped backdrop, with the number ""3"" visible in the lower right corner."
46,75-0035,,,military uniform; world war i; portrait; soldier; black and white photograph,"A black and white portrait photograph of a man in World War I military uniform wearing glasses and a campaign hat, standing at attention against a plain background."
47,75-0036,,,military portrait; united states navy; sailor uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a U.S. Navy sailor wearing a dress uniform with a cap labeled ""U.S. NAVY FORCE,"" sailor collar with white piping, and what appears to be a military decoration or insignia on his chest."
48,75-0037,"""Four Minute Men""",1918,portrait photograph; four minute men; world war i; 1918; corning new york,"A black and white portrait photograph from 1918 showing a man in formal attire with the header text ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Four Minute Men speaker from Corning, New York during World War I."
49,75-0038,,,portrait photograph; man; cowboy hat; military uniform; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat with a decorative band and a military-style jacket with buttons and chest pockets, appearing to be from the early 20th century."
50,75-0039,Lynn A. Frence,1918,portrait photograph; man; 1918; black and white; formal headshot,"A formal black and white portrait photograph from 1918 showing a man identified as Lynn A. Frence in a three-quarter view, wearing a collared shirt with a button visible, against a plain background."
51,75-0040,,,portrait photograph; man; early 20th century; black and white; formal headshot,"A black and white portrait photograph of a man in profile facing left, wearing a textured jacket or sweater with a high collar, photographed against a dark background in what appears to be an early 20th-century studio style."
52,75-0041,James P. Conny,1918,portrait photograph; man; sailor uniform; 1918; black and white,"A black and white portrait photograph from 1918 showing James P. Conny wearing a sailor's uniform with striped collar detail, taken for the Corning, NY local history archive."
53,75-0042,,,portrait photograph; man; black and white; early 20th century; headshot,"A black and white portrait photograph of a young man wearing a dark collared shirt, shown from the shoulders up against a plain background, typical of early 20th-century studio portraiture."
54,75-0043,Albert J. Barrett,1918,world war i soldier; military uniform; rifle with bayonet; portrait; black and white photograph,"A 1918 portrait photograph of a World War I soldier in uniform holding a rifle with bayonet attachment, wearing a military hat and belt, posed against a wooden backdrop with decorative stars."
55,75-0044,,,world war i; military portrait; naval officer; 1918; corning new york,"A black and white portrait photograph from 1918 titled ""Corning's Part in the World War"" showing a U.S. Navy officer in uniform with a sailor's cap, representing a local serviceman's contribution to World War I."
56,75-0045,,,portrait photograph; military uniform; man; early 20th century; black and white,"A black and white portrait photograph of a man wearing a military uniform with a cap and collar insignia, with decorative text and floral design visible at the top of the image."
57,75-0046,,,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with decorative insignia and buttons, shown in profile against a plain background."
58,75-0047,Cora Everson,1918,portrait photograph; woman; eyeglasses; 1918; black and white,"A black and white portrait photograph from 1918 showing Cora Everson, a woman wearing round eyeglasses and light-colored clothing, from the Corning, NY local history archive (ID: 75-0047)."
59,75-0048,,,portrait; man; cowboy hat; work clothes; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat, work shirt, and pants, standing outdoors with trees visible in the background, framed with decorative stars and marked with the number 4."
60,75-0049,,,portrait photograph; black and white; oval frame; male subject; early 20th century,"A black and white portrait photograph of a man in profile view, presented in an oval frame with a decorative scalloped border, numbered ""6"" at the bottom left, typical of early 20th-century archival photography."
61,75-0050,,,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, showing a formal headshot typical of early 20th century photography."
62,75-0051,,,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, shown in profile-facing pose with a serious expression, typical of early 20th-century formal portraiture."
63,75-0052,Ernest T. Brooks,1918,portrait; military uniform; world war i; soldier; black and white photograph,A black and white portrait photograph from 1918 showing Ernest T. Brooks wearing a World War I military uniform and campaign hat with a star insignia visible in the upper left corner.
64,75-0053,,,military uniform; portrait photograph; soldier; world war era; black and white photograph,"A black and white portrait photograph of a soldier wearing a World War I-era military uniform with campaign hat and light-colored tunic, standing indoors against a dark background."
65,75-0054,,,corning's world war; military portraits; numbered soldiers; black and white photograph; world war era,"A historical photograph from Corning, NY showing five numbered military personnel portraits arranged in star shapes with a decorative banner reading ""Corning's World War"" at the top, documenting local soldiers' service during World War I or II."
66,75-0055,Cora Everson,1918,portrait collage; black and white photograph; 1918; numbered figures; illustrated scenes,"A 1918 composite photograph featuring multiple numbered portraits and illustrations, including circular and star-shaped framed portraits of individuals, numbered scenes (5, 8), and what appears to be illustrated narrative panels, all arranged on a single page from the Corning, NY local history archive."
67,75-0056,Isabel Walker Drake Family Photo,c.1900,rural landscape; open field; early 1900s; black and white photograph; archival image,"A circular-framed black and white photograph showing an open rural field with scattered figures and trees in the distance, circa 1900, from the Isabel Walker Drake Family collection (archive ID 75-0056)."
68,75-0057,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; women; garden gate; church steeple; black and white photograph,"A black and white photograph from circa 1900 showing two women standing at a garden gate with a church steeple visible in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive."
69,75-0058,Isabel Walker Drake Family Photo,c. 1900,,
70,75-0059,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; ivy-covered house; turn-of-century; residential property; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family property in Corning, NY, showing a person on horseback with a carriage in front of a large house heavily covered with climbing ivy vines."
71,75-0060,Corning Free Academy,1954,corning free academy; basketball team; 1954; athletic team portrait; black and white photograph,"A 1954 black and white photograph of the Corning Free Academy basketball team posed in front of a brick building, with players wearing uniforms marked with ""C"" and two adult coaches or administrators in suits flanking the group."
72,75-0061,Mrs. John Bong,1918,,
73,75-0061,Mrs. Harold Carr,1918,,
74,75-0062,,,honor roll; riverside ny; war memorial; black and white photograph; names engraved,"A black and white photograph of an ""Honor Roll"" memorial monument for the Village of Riverside, N.Y., featuring an eagle at the top and multiple columns of engraved names of residents, likely commemorating those who served in military service."
75,75-0063,Fifth War Loan Drive,,,
76,75-0064,"Alley's Inn, Seneca Lake",1918,alley's inn; corning chamber of commerce; 1918 booster trip; large group gathering; band with instruments,"A 1918 photograph showing the Corning Chamber of Commerce booster trip group assembled in front of Alley's Inn near Seneca Lake, with the Corning Band prominently displayed with their instruments in the foreground."
77,75-0065,Baseball,1928,baseball team; corning free academy; 1928; black and white photograph; brick building,"A 1928 baseball team from Corning Free Academy poses for a formal group portrait in front of a brick building, with players in uniforms arranged in two rows and a coach or administrator in a suit on the right end of the front row."
78,75-0065,Corning Free Academy,1928,baseball team; corning free academy; 1928; black and white photograph; brick building,"A 1928 baseball team from Corning Free Academy poses for a formal group portrait in front of a brick building, with players in uniforms arranged in two rows and a coach or administrator in a suit on the right end of the front row."
79,75-0066,"Northside, Corning, New York",,bird's-eye view; northside corning; residential neighborhood; high school; black and white photograph,"A bird's-eye view of the North Side of Corning, New York showing W. Pultney Street and the New North Side High School, with residential buildings, tree-lined streets, and surrounding hills visible in this historical black and white photograph."
80,75-0067,"Centerway Square, Corning, N.Y. ",1916,clocktower; centerway square; corning new york; 1916; black and white photograph,"This 1916 black and white photograph shows the iconic clocktower in Centerway Square, Corning, New York, surrounded by brick commercial buildings, utility poles with power lines, and industrial smokestacks visible in the background."
81,75-0067,"Clocktower, Corning, N.Y. ",1916,clocktower; centerway square; corning new york; 1916; black and white photograph,"This 1916 black and white photograph shows the iconic clocktower in Centerway Square, Corning, New York, surrounded by brick commercial buildings, utility poles with power lines, and industrial smokestacks visible in the background."
82,75-0068,"Erie Railroad, Corning, N.Y. ",,,
83,75-0069,,,market street; corning new york; downtown street; early 1900s; brick buildings,"A black and white photograph of Market Street in Corning, New York, showing a wide unpaved street lined with multi-story brick commercial buildings on both sides, with mountains visible in the distance and a few pedestrians and horse-drawn vehicles visible along the street."
84,75-0070,,,world war i; military portrait; corning ny; 1918; soldier uniform,"A black and white photograph from ""Corning's Part in the World War 1918"" showing a portrait of a uniformed soldier wearing a military cap and collar insignia, labeled as page 2 of a local history document."
85,75-0071,,,world war i; military uniforms; soldiers; corning ny; 1918; black and white photograph,"Two uniformed soldiers stand beneath a banner reading ""CORNING'S PART in the WORLD WAR 1918,"" documenting Corning, New York's involvement in World War I."
86,75-0072,,,military service; group portrait; corning ny; world war era; black and white photograph,"A large group photograph of Corning's young men in military uniforms representing Aviation, Naval, and Army Service, posed in front of a classical building with an eagle emblem, as indicated by the caption ""Aviation, Naval and Army Service are All Represented in This Picture of Corning's Efficient Young Men"" from the New York American newspaper."
87,75-0073,,,world war i; military group portrait; home defense company; corning new york; newspaper clipping,"A New York-American newspaper clipping showing a large group photograph of Corning's patriotic sons in military uniforms with rifles, identified as members of the Home Defense Company and soldiers including those with the 106th Infantry, with caption text referencing their service ""in the Battle to Make the World a Safe Place for Liberty."""
88,75-0074,,,world war i; military parade; corning ny; 1918; downtown street,"A large military parade marches down a crowded downtown Corning street in 1918, with a banner reading ""CORNING'S PART in the WORLD WAR 1918"" suspended above, brick buildings lining both sides, and large crowds of civilians gathered to watch the procession."
89,75-0075,"Centerway Square, Corning, N.Y. ",1920s,,
90,75-0075,"Clocktower, Corning, N.Y. ",1920s,,
91,75-0076,Class Pictures ,1904,,
92,75-0076,Corning Free Academy,1924,,
93,75-0079,"Brewer Place, Caton, N.Y. ",1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
94,75-0079,"Caton, N.Y.",1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
95,75-0079,Cora Everling,1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
96,75-0080,,,railroad tracks; mountain pass; nevada; early 20th century; scrapbook page,"A scrapbook page featuring two photographs with handwritten annotations, including a mountain landscape at top and a railroad track cutting through a deep rocky canyon or cut below, with visible text reading ""Another view in the Sierra"" and references to Nevada."
97,75-0083,Covered Bridges,1880,covered bridge; wooden structure; rural landscape; bare trees; black and white photograph,"A black and white photograph from 1880 showing a covered bridge structure with wooden siding spanning across a rocky streambed, surrounded by bare deciduous trees in a rural Corning, New York setting."
98,75-0084,"Caton, N.Y., Schools",1925,white wooden schoolhouse; 1925; caton new york; rural school building; black and white photograph,"A one-story white wooden schoolhouse in Caton, New York, photographed in 1925, featuring multiple tall windows, a front entrance with steps, and a pitched roof with a chimney, surrounded by bare ground and trees."
99,75-0085,"Caton, N.Y., Schools",1956,caton school building; rural architecture; 1950s; black and white photograph; wooden structure,"A black and white photograph from 1956 showing a small wooden schoolhouse in Caton, N.Y., with a front porch, multiple windows, and outbuildings, situated in a rural landscape with bare trees and stone walls."
100,75-0086,"Caton, N.Y., Schools",1971,wooden schoolhouse; caton ny; rural education; 1971; black and white photograph,"A small wooden schoolhouse in Caton, New York, photographed in 1971, showing a single-story structure with white painted siding, a central entrance, and overgrown vegetation in the foreground, with additional outbuildings visible to the right."
101,75-0087,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; 1971; black and white photograph; rural building,"A black and white photograph from 1971 showing a small wooden schoolhouse in Caton, New York, with a front porch, chimney, and surrounding trees in a rural setting."
102,75-0088,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wooden building; rural; black and white photograph,"A 1971 black and white photograph of a small wooden schoolhouse in Caton, New York, featuring a single-room structure with a pyramidal roof, front entrance, and boarded windows, surrounded by overgrown vegetation and trees."
103,75-0089,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; white wooden building; rural architecture; black and white photograph,"A 1971 black and white photograph of a small white wooden schoolhouse in Caton, New York, featuring a front porch, pitched roof with chimney, and three windows, surrounded by bare trees and a rural road."
104,75-0090,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wood siding; 1971; rural architecture,"A one-room schoolhouse with white wood siding and a pyramidal roof in Caton, New York, photographed in 1971, showing the modest educational building surrounded by overgrown grass and mature trees."
105,75-0091,"Caton, N.Y., Schools",1971,wooden schoolhouse; caton ny; rural education; 1971; black and white photograph,"A one-room wooden schoolhouse in Caton, New York, photographed in 1971, featuring white clapboard siding, two large windows, a front porch, and surrounded by overgrown vegetation and trees."
106,75-0092,"Caton, N.Y., Schools",1971,caton school building; white wooden structure; rural schoolhouse; 1971; black and white photograph,"A black and white photograph from 1971 showing a small white wooden schoolhouse in Caton, N.Y., with a gabled roof, multiple windows, front entrance with steps, and an attached addition, surrounded by trees and dirt grounds."
107,75-0093,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wooden structure; rural building; black and white photograph,"A small wooden schoolhouse in Caton, New York, photographed in 1971, featuring white clapboard siding, a front porch with railings, tall windows, and surrounded by overgrown vegetation and trees."
108,75-0094,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; rural building; white wood siding; black and white photograph,"A black and white photograph from 1971 showing a white wooden schoolhouse in Caton, New York, with a cupola on the roof, situated in a rural setting with fields and trees visible in the background."
109,75-0095,Isabel Walker Drake Family Photo,c. 1900,family portrait; turn-of-the-century clothing; white picket fence; bare trees; black and white photograph,"A young girl from the Isabel Walker Drake family stands on a wooden boardwalk beside a white picket fence wearing early 1900s attire including a large bonnet with white ribbons and a plaid dress, with bare trees and residential buildings visible in the background in Corning, NY."
110,75-0096,Isabel Walker Drake Family Photo,c. 1900,portrait; turn-of-the-century; bare trees; residential buildings; oval vignette photograph,"A circa 1900 oval-framed black and white photograph showing a person in dark clothing standing beneath bare trees with residential buildings and a hillside visible in the background, likely depicting a scene from Corning, NY during the Isabel Walker Drake family era."
111,75-0097,Isabel Walker Drake Family Photo,c. 1900,,
112,75-0098,,,park church; elmira ny; brick church; bare trees; black and white photograph,"A black and white photograph showing Park Church in Elmira, New York, a substantial brick church building with a prominent steeple and dome, surrounded by bare trees in what appears to be a town square or park setting."
113,75-0099,Isabel Walker Drake Family Photo,c. 1900,rural homestead; dirt road; lake landscape; early 1900s; black and white photograph,"This circa 1900 photograph shows a rural homestead at Bluff Point, Keuka Lake, North Dakota, featuring a dirt road lined with vegetation leading to several white houses and farm buildings, with the lake and forested hills visible in the background."
114,75-0100,Blacksmithing,,,
115,75-0101,"Caton, N.Y.",1960,,
116,75-0102,Blacksmithing,1973,blacksmith shop; caton new york; winter snow; wooden building; 1973 photograph,"A snow-covered blacksmith shop building in Caton, New York, photographed in 1973, showing a wooden structure with multiple windows, a peaked roof, and evergreen trees in the foreground behind a wooden fence."
117,75-0102,"Caton, N.Y.",1973,blacksmith shop; caton new york; winter snow; wooden building; 1973 photograph,"A snow-covered blacksmith shop building in Caton, New York, photographed in 1973, showing a wooden structure with multiple windows, a peaked roof, and evergreen trees in the foreground behind a wooden fence."
118,75-0103,,,winter landscape; snowy rural road; bare trees; farmhouse; black and white photograph,"A black and white photograph showing a snow-covered rural road lined with bare trees, utility poles, and scattered farmhouses in a hilly landscape, typical of upstate New York countryside during winter."
119,75-0104,"Caton, N.Y.",1970,white church building; bare trees; winter snow; rural road; black and white photograph,"A white wooden church with a steeple in Caton, New York, photographed in winter 1970 with snow on the ground and bare trees framing the Gothic-style windows and front entrance."
120,75-0105,"Caton, N.Y.",1973,aerial photograph; rural settlement; caton ny; 1973; black and white photograph,"An aerial view of Caton, New York from 1973 showing a rural hamlet with scattered houses, farm fields, roads, and forested areas in a black and white photograph."
121,75-0106,,,handwritten document; fire department; 1965; corning ny; historical record,"A handwritten historical document from the Painted Post Fire Department dated Fall of 1965, listing firefighter names and detailing the specifications of fire trucks and equipment purchased, including a four-cylinder red truck and a six-cylinder carriage truck equipped with hose bodies, ladders, and chemical barrels."
122,75-0110,,,certificate of service; railroad; new york central; steam locomotive; employment recognition,"A Certificate of Service from the New York Central Railroad Company honoring Ross O. Smith for 37 years and 5 months of employment as a Car Inspector & Repairer from December 16, 1910 to May 23, 1948."
123,75-0112,Floods,1972,flooded landscape; white church; submerged fields; 1972 flood; black and white photograph,"A black and white photograph documenting the 1972 flood in Corning, NY, showing a white church partially surrounded by floodwaters with submerged farmland, fencing, and trees in the background."
124,75-0113,,,wooden house; group gathering; black and white photograph; historic building; outdoor event,"A black and white photograph showing a large group of people gathered outside a two-story wooden house with a gabled roof, surrounded by trees."
125,75-0114,"Denison Park, Corning, N.Y. ",1909,,
126,75-0115,"Addison, N.Y.",,high school building; addison new york; bare trees; early 20th century; black and white photograph,"This historical photograph shows the High School in Addison, N.Y., a large Victorian-era brick building with a distinctive tower and cupola, surrounded by bare trees and an open campus with several figures visible on the grounds, published by G. R. Waterman."
127,75-0116,,,commemorative medal; Louisville Kentucky; military decoration; striped ribbon; black and white photograph,"A circular medal commemorating Louisville, Kentucky dated September 11-14, 1868, featuring an eagle and shield design, suspended from a black, white, and gray striped ribbon."
128,75-0117,Civil War,1863,civil war medal; battle of chickamauga; military decoration; commemorative medal; black and white photograph,"A Civil War commemorative medal featuring an ornate silver clasp and striped ribbon (black and white) attached to a circular medal inscribed ""Battle of Chickamauga Dedication Sept. 18-20, 1868,"" depicting a battlefield scene."
129,75-0118,Civil War,1860s,utensil; fork and spoon; metal handle; vintage cutlery; black and white photograph,A photograph of a combined fork and spoon utensil with a deteriorated metal handle featuring rivets and a worn white bowl-shaped spoon end with prongs at the opposite end.
130,75-0119,Civil War,1860s,civil war artifact; bayonet; military weapon; metal; black and white photograph,"A close-up photograph of a Civil War-era bayonet with a dark handle and weathered metal blade, displayed against a neutral background."
131,75-0120,,,park hotel; mansard roof; brick building; downtown corning; black and white photograph,"A black and white photograph of the Park Hotel, a prominent brick building with a distinctive mansard roof and multiple stories, located in downtown Corning, PA, with pedestrians visible on the street below."
132,75-0121,,,corning free academy; victorian architecture; clock tower; institutional building; black and white photograph,"This black and white photograph shows the Corning Free Academy in Corning, New York, a Victorian-era institutional building featuring distinctive architectural elements including multiple towers with cupolas, a prominent clock tower, and ornamental details, surrounded by bare trees."
133,75-0122,Civil War,1862,civil war discharge document; military certificate; handwritten text; 1862; eagle seal,"A Civil War-era military discharge document dated January 8, 1862, from Benton Barracks, discharging Private William McMurden of Captain's Company, 1st Regiment of Pennsylvania, with physical description and official seal."
